Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Deadband_Stat,Pole_Obiektu
7.832,-34,-18,PID,40,497.0
7.857,-34,-18,PID,40,497.0
7.878,-34,-25,PID,40,345.0
7.904,-28,-22,PID,40,385.5
7.926,-29,-21,PID,40,344.0
7.949,-29,-21,PID,40,344.0
7.969,-31,-22,PID,40,317.0
7.991,-31,-22,PID,40,317.0
8.014,-36,-22,PID,40,294.0
8.034,-35,-22,PID,40,258.5
8.057,-37,-21,PID,40,273.0
8.080,-37,-21,PID,40,273.0
8.100,-37,-21,PID,40,289.0
8.122,-37,-21,PID,40,289.0
8.143,-38,-21,PID,40,254.5
8.164,-37,-21,PID,40,247.5
8.186,-37,-21,PID,40,247.5
8.206,-36,-21,PID,40,251.0
8.231,-34,-22,PID,40,259.5
8.261,-33,-22,PID,40,261.5
8.288,-33,-22,PID,40,261.5
8.312,-30,-22,PID,40,299.5
8.332,-27,-21,PID,40,319.5
8.355,-24,-21,PID,40,342.0
8.378,-24,-21,PID,40,342.0
8.400,-23,-22,PID,40,292.5
8.421,-19,-21,PID,40,394.5
8.442,-19,-21,PID,40,394.5
8.462,-17,-22,PID,40,317.0
8.484,-17,-22,PID,40,317.0
8.503,-13,-21,PID,40,353.5
8.524,-9,-23,PID,40,309.5
8.545,-9,-23,PID,40,309.5
8.569,-4,-21,PID,40,328.5
8.590,-4,-21,PID,40,328.5
8.612,0,-24,PID,40,284.0
8.632,5,-20,PID,40,341.5
8.654,5,-20,PID,40,341.5
8.674,10,-25,PID,40,225.5
8.694,15,-25,PID,40,240.0
8.716,15,-25,PID,40,240.0
8.736,19,-24,PID,40,286.5
8.758,25,-24,PID,40,242.0
8.779,25,-24,PID,40,242.0
8.799,30,-25,PID,40,227.5
8.820,36,-24,PID,40,239.0
8.841,36,-24,PID,40,239.0
8.861,40,-23,PID,40,221.5
8.883,40,-23,PID,40,221.5
8.906,45,-21,PID,40,236.5
8.926,50,-19,PID,40,249.0
8.947,50,-19,PID,40,249.0
8.967,53,-17,PID,40,214.5
8.988,50,-15,PID,40,261.0
9.008,50,-15,PID,40,261.0
9.028,48,-12,PID,40,250.0
9.052,48,-12,PID,40,250.0
9.073,45,-9,PID,40,267.0
9.093,42,-6,PID,40,251.0
9.115,42,-6,PID,40,251.0
9.134,40,-2,PID,40,255.0
9.157,35,0,PID,40,276.0
9.178,35,0,PID,40,276.0
9.198,33,3,PID,40,256.0
9.226,33,3,PID,40,256.0
9.246,30,5,PID,40,267.0
9.266,29,9,PID,40,242.0
9.288,33,11,PID,40,237.0
9.309,33,11,PID,40,237.0
9.330,38,14,PID,40,228.0
9.353,44,17,PID,40,237.5
9.374,44,17,PID,40,237.5
9.394,49,20,PID,40,220.5
9.416,49,20,PID,40,220.5
9.435,54,22,PID,40,216.5
9.456,57,25,PID,40,209.0
9.477,57,25,PID,40,209.0
9.498,54,27,PID,40,195.5
9.520,54,27,PID,40,195.5
9.541,54,30,PID,40,205.0
9.566,51,31,PID,40,197.5
9.589,50,34,PID,40,202.5
9.610,50,34,PID,40,202.5
9.630,47,36,PID,40,204.0
9.653,47,36,PID,40,204.0
9.674,47,39,PID,40,192.5
9.695,47,40,PID,40,184.5
9.715,47,40,PID,40,184.5
9.735,45,43,PID,40,187.5
9.758,45,45,PID,40,189.5
9.780,45,45,PID,40,189.5
9.799,43,45,PID,40,189.0
9.822,42,38,PID,40,192.5
9.844,42,38,PID,40,192.5
9.864,41,31,PID,40,180.5
9.889,41,31,PID,40,180.5
9.911,41,28,PID,40,187.0
9.932,41,26,PID,40,185.5
9.953,41,26,PID,40,185.5
9.973,41,20,PID,40,184.0
9.995,41,24,PID,40,181.5
10.016,41,24,PID,40,181.5
10.036,41,28,PID,40,187.0
10.061,41,29,PID,40,163.0
10.082,41,29,PID,40,163.0
10.102,42,30,PID,40,132.0
10.123,43,35,PID,40,127.5
10.144,43,35,PID,40,127.5
10.165,44,36,PID,40,138.0
