Czas_s,Uchyb_X_px,Uchyb_Y_px,Kp_Pan,Kd_Pan,Kp_Tilt,Kd_Tilt
4.126,-40,-100,0.01,0.001,0.01,0.001
4.146,-29,-101,0.01,0.001,0.01,0.001
4.167,-19,-101,0.01,0.001,0.01,0.001
4.190,-11,-99,0.01,0.001,0.01,0.001
4.211,1,-99,0.01,0.001,0.01,0.001
4.234,6,-97,0.01,0.001,0.01,0.001
4.258,21,-99,0.01,0.001,0.01,0.001
4.278,40,-101,0.01,0.001,0.01,0.001
4.302,53,-98,0.01,0.001,0.01,0.001
4.323,58,-95,0.01,0.001,0.01,0.001
4.344,62,-89,0.01,0.001,0.01,0.001
4.368,60,-81,0.01,0.001,0.01,0.001
4.391,62,-77,0.01,0.001,0.01,0.001
4.415,51,-72,0.01,0.001,0.01,0.001
4.436,-31,-89,0.01,0.001,0.01,0.001
4.460,-55,-69,0.01,0.001,0.01,0.001
4.482,-108,-28,0.01,0.001,0.01,0.001
4.503,-149,14,0.01,0.001,0.01,0.001
4.526,-140,40,0.01,0.001,0.01,0.001
4.548,-141,68,0.01,0.001,0.01,0.001
4.568,-144,89,0.01,0.001,0.01,0.001
4.592,-143,105,0.01,0.001,0.01,0.001
4.613,-142,117,0.01,0.001,0.01,0.001
4.634,-141,130,0.01,0.001,0.01,0.001
4.657,-140,140,0.01,0.001,0.01,0.001
4.679,-135,150,0.01,0.001,0.01,0.001
4.703,-126,155,0.01,0.001,0.01,0.001
4.726,-111,159,0.01,0.001,0.01,0.001
4.750,-104,161,0.01,0.001,0.01,0.001
4.771,-91,163,0.01,0.001,0.01,0.001
4.794,-85,164,0.01,0.001,0.01,0.001
4.814,-71,164,0.01,0.001,0.01,0.001
4.836,-53,165,0.01,0.001,0.01,0.001
4.859,-44,165,0.01,0.001,0.01,0.001
4.879,-28,164,0.01,0.001,0.01,0.001
4.900,-8,164,0.01,0.001,0.01,0.001
4.923,4,163,0.01,0.001,0.01,0.001
4.943,22,159,0.01,0.001,0.01,0.001
4.967,44,154,0.01,0.001,0.01,0.001
4.988,54,152,0.01,0.001,0.01,0.001
5.009,64,144,0.01,0.001,0.01,0.001
5.030,67,142,0.01,0.001,0.01,0.001
5.052,73,140,0.01,0.001,0.01,0.001
5.079,70,131,0.01,0.001,0.01,0.001
5.102,71,127,0.01,0.001,0.01,0.001
5.127,58,116,0.01,0.001,0.01,0.001
5.150,33,101,0.01,0.001,0.01,0.001
5.171,-8,81,0.01,0.001,0.01,0.001
5.194,-17,60,0.01,0.001,0.01,0.001
5.214,-50,39,0.01,0.001,0.01,0.001
5.235,-93,13,0.01,0.001,0.01,0.001
5.260,-106,-5,0.01,0.001,0.01,0.001
5.280,-130,-19,0.01,0.001,0.01,0.001
5.302,-164,-36,0.01,0.001,0.01,0.001
5.326,-176,-48,0.01,0.001,0.01,0.001
5.347,-195,-60,0.01,0.001,0.01,0.001
5.370,-203,-72,0.01,0.001,0.01,0.001
5.393,-198,-83,0.01,0.001,0.01,0.001
5.420,-199,-91,0.01,0.001,0.01,0.001
5.440,-192,-100,0.01,0.001,0.01,0.001
5.464,-191,-108,0.01,0.001,0.01,0.001
5.487,-182,-113,0.01,0.001,0.01,0.001
5.508,-173,-116,0.01,0.001,0.01,0.001
5.531,-167,-119,0.01,0.001,0.01,0.001
5.552,-159,-121,0.01,0.001,0.01,0.001
5.574,-147,-122,0.01,0.001,0.01,0.001
5.597,-141,-123,0.01,0.001,0.01,0.001
5.618,-133,-122,0.01,0.001,0.01,0.001
5.640,-120,-120,0.01,0.001,0.01,0.001
5.663,-106,-117,0.01,0.001,0.01,0.001
5.685,-101,-113,0.01,0.001,0.01,0.001
5.707,-92,-108,0.01,0.001,0.01,0.001
5.728,-88,-104,0.01,0.001,0.01,0.001
5.754,-78,-99,0.01,0.001,0.01,0.001
5.775,-66,-94,0.01,0.001,0.01,0.001
5.797,-62,-90,0.01,0.001,0.01,0.001
5.819,-53,-87,0.01,0.001,0.01,0.001
5.840,-40,-86,0.01,0.001,0.01,0.001
5.863,-35,-84,0.01,0.001,0.01,0.001
5.886,-25,-83,0.01,0.001,0.01,0.001
5.910,-11,-81,0.01,0.001,0.01,0.001
5.933,5,-68,0.01,0.001,0.01,0.001
5.955,11,-62,0.01,0.001,0.01,0.001
5.976,30,-49,0.01,0.001,0.01,0.001
5.999,39,-43,0.01,0.001,0.01,0.001
6.023,63,-26,0.01,0.001,0.01,0.001
6.045,80,-5,0.01,0.001,0.01,0.001
6.070,90,19,0.01,0.001,0.01,0.001
6.093,87,38,0.01,0.001,0.01,0.001
6.114,83,95,0.01,0.001,0.01,0.001
6.135,47,137,0.01,0.001,0.01,0.001
6.159,27,157,0.01,0.001,0.01,0.001
6.179,-1,163,0.01,0.001,0.01,0.001
6.199,-25,165,0.01,0.001,0.01,0.001
6.222,-25,165,0.01,0.001,0.01,0.001
6.242,-47,165,0.01,0.001,0.01,0.001
6.266,-47,165,0.01,0.001,0.01,0.001
6.289,-73,167,0.01,0.001,0.01,0.001
6.311,-99,168,0.01,0.001,0.01,0.001
6.334,-110,167,0.01,0.001,0.01,0.001
6.355,-110,167,0.01,0.001,0.01,0.001
6.377,-114,167,0.01,0.001,0.01,0.001
6.398,-114,167,0.01,0.001,0.01,0.001
6.419,-103,164,0.01,0.001,0.01,0.001
6.440,-90,160,0.01,0.001,0.01,0.001
6.463,-90,158,0.01,0.001,0.01,0.001
6.485,-72,156,0.01,0.001,0.01,0.001
6.505,-58,155,0.01,0.001,0.01,0.001
6.530,-58,155,0.01,0.001,0.01,0.001
6.553,-49,153,0.01,0.001,0.01,0.001
6.574,-32,150,0.01,0.001,0.01,0.001
6.597,-23,139,0.01,0.001,0.01,0.001
6.618,-23,135,0.01,0.001,0.01,0.001
6.640,-8,120,0.01,0.001,0.01,0.001
6.662,-6,115,0.01,0.001,0.01,0.001
6.686,12,99,0.01,0.001,0.01,0.001
6.708,30,79,0.01,0.001,0.01,0.001
6.735,30,65,0.01,0.001,0.01,0.001
6.760,47,43,0.01,0.001,0.01,0.001
6.781,32,17,0.01,0.001,0.01,0.001
6.802,49,-4,0.01,0.001,0.01,0.001
6.825,54,-13,0.01,0.001,0.01,0.001
6.845,39,-33,0.01,0.001,0.01,0.001
6.868,22,-52,0.01,0.001,0.01,0.001
6.891,26,-59,0.01,0.001,0.01,0.001
6.913,2,-72,0.01,0.001,0.01,0.001
6.938,5,-77,0.01,0.001,0.01,0.001
6.961,-19,-87,0.01,0.001,0.01,0.001
6.983,-34,-92,0.01,0.001,0.01,0.001
7.003,-44,-93,0.01,0.001,0.01,0.001
7.026,-43,-94,0.01,0.001,0.01,0.001
7.047,7,-84,0.01,0.001,0.01,0.001
7.073,-17,-90,0.01,0.001,0.01,0.001
7.097,-16,-92,0.01,0.001,0.01,0.001
7.118,-47,-92,0.01,0.001,0.01,0.001
7.143,3,-75,0.01,0.001,0.01,0.001
7.165,11,-72,0.01,0.001,0.01,0.001
7.187,48,-66,0.01,0.001,0.01,0.001
7.207,79,-59,0.01,0.001,0.01,0.001
7.232,97,-47,0.01,0.001,0.01,0.001
7.255,98,-43,0.01,0.001,0.01,0.001
7.276,128,-25,0.01,0.001,0.01,0.001
7.301,128,-16,0.01,0.001,0.01,0.001
7.322,141,-1,0.01,0.001,0.01,0.001
7.343,139,15,0.01,0.001,0.01,0.001
7.369,135,25,0.01,0.001,0.01,0.001
7.392,130,35,0.01,0.001,0.01,0.001
7.414,122,43,0.01,0.001,0.01,0.001
7.435,117,57,0.01,0.001,0.01,0.001
7.457,114,63,0.01,0.001,0.01,0.001
7.478,118,54,0.01,0.001,0.01,0.001
7.502,107,58,0.01,0.001,0.01,0.001
7.525,110,71,0.01,0.001,0.01,0.001
7.546,110,78,0.01,0.001,0.01,0.001
7.567,87,83,0.01,0.001,0.01,0.001
7.591,83,87,0.01,0.001,0.01,0.001
7.611,73,86,0.01,0.001,0.01,0.001
7.640,60,79,0.01,0.001,0.01,0.001
7.674,41,62,0.01,0.001,0.01,0.001
7.698,40,52,0.01,0.001,0.01,0.001
7.720,12,31,0.01,0.001,0.01,0.001
7.745,2,13,0.01,0.001,0.01,0.001
7.768,-1,-4,0.01,0.001,0.01,0.001
7.789,2,-8,0.01,0.001,0.01,0.001
7.811,-13,-25,0.01,0.001,0.01,0.001
7.832,-10,-29,0.01,0.001,0.01,0.001
7.855,-19,-43,0.01,0.001,0.01,0.001
7.877,-19,-58,0.01,0.001,0.01,0.001
7.898,-16,-62,0.01,0.001,0.01,0.001
7.922,-12,-72,0.01,0.001,0.01,0.001
7.943,-2,-75,0.01,0.001,0.01,0.001
7.966,3,-75,0.01,0.001,0.01,0.001
7.989,3,-75,0.01,0.001,0.01,0.001
8.010,8,-75,0.01,0.001,0.01,0.001
8.033,15,-73,0.01,0.001,0.01,0.001
8.054,16,-72,0.01,0.001,0.01,0.001
8.080,25,-71,0.01,0.001,0.01,0.001
8.104,31,-66,0.01,0.001,0.01,0.001
8.127,38,-58,0.01,0.001,0.01,0.001
8.148,42,-53,0.01,0.001,0.01,0.001
8.169,51,-46,0.01,0.001,0.01,0.001
8.192,56,-42,0.01,0.001,0.01,0.001
8.213,62,-33,0.01,0.001,0.01,0.001
8.234,63,-24,0.01,0.001,0.01,0.001
8.257,67,-18,0.01,0.001,0.01,0.001
